Week,Cases
"January 19, 2020",1
"January 26, 2020",3
"February 2, 2020",6
"February 9, 2020",7
"February 16, 2020",11
"February 23, 2020",28
"March 1, 2020",110
"March 8, 2020",610
"March 15, 2020",10371
"March 22, 2020",53517
"March 29, 2020",115963
"April 5, 2020",182990
"April 12, 2020",240542
"April 19, 2020",286901
"April 26, 2020",318134
"May 3, 2020",338519
"May 10, 2020",353136
"May 17, 2020",364745
"May 24, 2020",374471
"May 31, 2020",382102
"June 7, 2020",387402
"June 14, 2020",392037
"June 21, 2020",396669
"June 28, 2020",401286
"July 5, 2020",405724
"July 12, 2020",411006
"July 19, 2020",453327
"July 26, 2020",509507
"August 2, 2020",556158
"August 9, 2020",621981
"August 16, 2020",665325
"August 23, 2020",702500
"August 30, 2020",737074
"September 6, 2020",760582
"September 13, 2020",785077
"September 20, 2020",809215
"September 27, 2020",831495
"October 4, 2020",854303
"October 11, 2020",876258
"October 18, 2020",906657
"October 25, 2020",953451
"November 1, 2020",1009837
"November 8, 2020",1083132
"November 15, 2020",1164267
"November 22, 2020",1234740
"November 29, 2020",1343193
"December 6, 2020",1554920
"December 13, 2020",1847031
"December 20, 2020",2129749
"December 27, 2020",2398005
"January 3, 2021",2687450
"January 10, 2021",2975419
"January 17, 2021",3164386
"January 24, 2021",3310100
"January 31, 2021",3407369
"February 7, 2021",3479586
"February 14, 2021",3527411
"February 21, 2021",3566089
"February 28, 2021",3597075
"March 7, 2021",3621217
"March 14, 2021",3640830
"March 21, 2021",3658932
"March 28, 2021",3678343
"April 4, 2021",3696900
"April 11, 2021",3716759
"April 18, 2021",3730549
"April 25, 2021",3743780
"May 2, 2021",3757249
"May 9, 2021",3768252
"May 16, 2021",3776679
"May 23, 2021",3788894
"May 30, 2021",3795202
"June 6, 2021",3801812
"June 13, 2021",3808088
"June 20, 2021",3815178
"June 27, 2021",3820882
"July 4, 2021",3833655
"July 11, 2021",3857764
