State,County,Cases,Deaths
Alabama,Jefferson,"82,655","1,584"
Alabama,Mobile,"44,695",851
Alabama,Madison,"36,439",531
Alabama,Tuscaloosa,"26,561",465
Alabama,Shelby,"26,332",255
Alabama,Montgomery,"25,558",622
Alabama,Baldwin,"23,184",324
Alabama,Lee,"16,666",179
Alabama,Calhoun,"14,978",332
Alabama,Morgan,"14,858",288
Alabama,Etowah,"14,512",369
Alabama,Marshall,"12,695",235
Alabama,Houston,"11,242",292
Alabama,Elmore,"10,559",217
Alabama,St. Clair,"10,427",251
Alabama,Limestone,"10,399",158
Alabama,Cullman,"10,173",204
Alabama,Lauderdale,"9,872",253
Alabama,DeKalb,"9,185",191
Alabama,Talladega,"8,640",187
Alabama,Walker,"7,535",286
Alabama,Autauga,"7,375",113
Alabama,Jackson,"7,193",117
Alabama,Blount,"7,133",139
Alabama,Colbert,"6,513",142
Alabama,Coffee,"5,936",131
Alabama,Dale,"5,197",117
Alabama,Russell,"4,633",42
Alabama,Chilton,"4,591",116
Alabama,Covington,"4,479",125
Alabama,Franklin,"4,391",82
Alabama,Tallapoosa,"4,326",156
Alabama,Escambia,"4,138",82
Alabama,Chambers,"3,805",124
Alabama,Dallas,"3,671",162
Alabama,Clarke,"3,610",62
Alabama,Marion,"3,349",107
Alabama,Pike,"3,226",79
Alabama,Lawrence,"3,170",101
Alabama,Winston,"2,887",72
Alabama,Bibb,"2,753",65
Alabama,Geneva,"2,662",83
Alabama,Marengo,"2,564",67
Alabama,Barbour,"2,415",60
Alabama,Pickens,"2,386",62
Alabama,Butler,"2,328",71
Alabama,Hale,"2,302",78
Alabama,Fayette,"2,238",63
Alabama,Henry,"2,027",45
Alabama,Cherokee,"1,920",47
Alabama,Randolph,"1,914",44
Alabama,Monroe,"1,894",41
Alabama,Washington,"1,741",39
Alabama,Macon,"1,666",52
Alabama,Crenshaw,"1,626",57
Alabama,Clay,"1,615",59
Alabama,Cleburne,"1,569",44
Alabama,Lamar,"1,489",38
Alabama,Lowndes,"1,436",54
Alabama,Wilcox,"1,283",31
Alabama,Bullock,"1,253",42
Alabama,Conecuh,"1,176",30
Alabama,Coosa,"1,145",29
Alabama,Perry,"1,095",28
Alabama,Sumter,"1,072",32
Alabama,Greene,956,35
Alabama,Choctaw,631,25
Alaska,Anchorage,"32,010",179
Alaska,Matanuska-Susitna Borough,"11,937",58
Alaska,Fairbanks North Star Borough,"8,061",44
Alaska,Kenai Peninsula Borough,"4,801",19
Alaska,Bethel Census Area,"3,950",22
Alaska,Juneau City and Borough,"1,545",3
Alaska,Kusilvak Census Area,"1,455",4
Alaska,Kodiak Island Borough,"1,151",6
Alaska,North Slope Borough,"1,088",4
Alaska,Valdez-Cordova Census Area,777,2
Alaska,Southeast Fairbanks Census Area,772,5
Alaska,Aleutians West Census Area,736,0
Alaska,Ketchikan Gateway Borough,673,1
Alaska,Northwest Arctic Borough,630,2
Alaska,Sitka City and Borough,575,1
Alaska,Nome Census Area,414,0
Alaska,Yukon-Koyukuk Census Area,371,4
Alaska,Aleutians East Borough,369,3
Alaska,Unknown,325,0
Alaska,Dillingham Census Area,238,2
Alaska,Bristol Bay plus Lake and Peninsula,202,0
Alaska,Prince of Wales-Hyder Census Area,181,4
Alaska,Petersburg Borough,181,0
Alaska,Denali Borough,113,0
Alaska,Yakutat plus Hoonah-Angoon,85,2
Alaska,Wrangell City and Borough,66,0
Alaska,Haines Borough,28,0
Alaska,Skagway Municipality,24,0
Arizona,Maricopa,"571,278","10,393"
Arizona,Pima,"119,094","2,455"
Arizona,Pinal,"55,215",921
Arizona,Yuma,"37,446",853
Arizona,Mohave,"24,804",771
Arizona,Yavapai,"20,297",534
Arizona,Coconino,"18,296",331
Arizona,Navajo,"16,995",557
