State,Week,Cases,Deaths
Alabama,3/8/20,12,0
Alabama,3/15/20,131,0
Alabama,3/22/20,720,4
Alabama,3/29/20,"1,632",44
Alabama,4/5/20,"3,262",93
Alabama,4/12/20,"4,723",151
Alabama,4/19/20,"6,213",213
Alabama,4/26/20,"7,611",289
Alabama,5/3/20,"9,668",390
Alabama,5/10/20,"11,674",485
Alabama,5/17/20,"14,149",549
Alabama,5/24/20,"17,359",618
Alabama,5/31/20,"20,043",689
Alabama,6/7/20,"24,601",773
Alabama,6/14/20,"29,549",838
Alabama,6/21/20,"35,083",919
Alabama,6/28/20,"42,862","1,007"
Alabama,7/5/20,"51,947","1,114"
Alabama,7/12/20,"65,234","1,286"
Alabama,7/19/20,"78,130","1,456"
Alabama,7/26/20,"89,349","1,603"
Alabama,8/2/20,"100,173","1,755"
Alabama,8/9/20,"107,580","1,896"
Alabama,8/16/20,"114,532","2,011"
Alabama,8/23/20,"123,889","2,152"
Alabama,8/30/20,"131,803","2,275"
Alabama,9/6/20,"137,646","2,350"
Alabama,9/13/20,"144,164","2,437"
Alabama,9/20/20,"151,591","2,506"
Alabama,9/27/20,"158,380","2,558"
Alabama,10/4/20,"164,526","2,664"
Alabama,10/11/20,"171,662","2,788"
Alabama,10/18/20,"183,276","2,866"
Alabama,10/25/20,"192,285","2,967"
Alabama,11/1/20,"202,482","3,082"
Alabama,11/8/20,"215,843","3,246"
Alabama,11/15/20,"230,708","3,457"
Alabama,11/22/20,"244,993","3,572"
Alabama,11/29/20,"267,589","3,877"
Alabama,12/6/20,"292,841","4,102"
Alabama,12/13/20,"319,904","4,389"
Alabama,12/20/20,"343,458","4,685"
Alabama,12/27/20,"369,458","4,872"
Alabama,1/3/21,"399,150","5,299"
Alabama,1/10/21,"420,681","6,119"
Alabama,1/17/21,"439,442","6,657"
Alabama,1/24/21,"455,582","7,566"
Alabama,1/31/21,"471,311","8,513"
Alabama,2/7/21,"479,856","9,242"
Alabama,2/14/21,"485,986","9,590"
Alabama,2/21/21,"492,683","9,930"
Alabama,2/28/21,"499,411","10,149"
Alabama,3/7/21,"503,305","10,327"
Alabama,3/14/21,"511,087","10,436"
Alabama,3/21/21,"514,072","10,526"
Alabama,3/28/21,"516,615","10,637"
Alabama,4/4/21,"518,588","10,712"
Alabama,4/11/21,"522,131","10,790"
Alabama,4/18/21,"525,898","10,851"
Alabama,4/25/21,"528,309","10,913"
Alabama,5/2/21,"530,744","10,978"
Alabama,5/9/21,"539,829","11,038"
Alabama,5/16/21,"541,928","11,112"
Alabama,5/23/21,"543,405","11,146"
Alabama,5/30/21,"545,585","11,198"
Alabama,6/6/21,"547,323","11,266"
Alabama,6/13/21,"548,657","11,306"
Alabama,6/20/21,"549,934","11,336"
Alabama,6/27/21,"551,298","11,358"
Alabama,7/4/21,"554,605","11,402"
Alabama,7/11/21,"559,478","11,443"
Alaska,3/8/20,1,0
Alaska,3/15/20,21,0
Alaska,3/22/20,102,1
Alaska,3/29/20,169,3
Alaska,4/5/20,255,6
Alaska,4/12/20,312,7
Alaska,4/19/20,337,7
Alaska,4/26/20,363,7
Alaska,5/3/20,377,8
Alaska,5/10/20,392,8
Alaska,5/17/20,409,8
Alaska,5/24/20,441,8
Alaska,5/31/20,579,8
Alaska,6/7/20,722,10
Alaska,6/14/20,845,10
Alaska,6/21/20,"1,027",12
Alaska,6/28/20,"1,339",14
Alaska,7/5/20,"1,656",15
Alaska,7/12/20,"2,157",16
Alaska,7/19/20,"2,866",18
Alaska,7/26/20,"3,825",22
Alaska,8/2/20,"4,371",24
Alaska,8/9/20,"4,952",26
Alaska,8/16/20,"5,492",29
Alaska,8/23/20,"5,985",34
Alaska,8/30/20,"6,514",39
Alaska,9/6/20,"7,074",41
Alaska,9/13/20,"7,613",42
Alaska,9/20/20,"8,244",48
Alaska,9/27/20,"9,111",54
Alaska,10/4/20,"10,350",56
Alaska,10/11/20,"11,710",63
Alaska,10/18/20,"13,439",64
Alaska,10/25/20,"16,247",77
Alaska,11/1/20,"19,194",79
Alaska,11/8/20,"23,029",92
Alaska,11/15/20,"27,079",95
Alaska,11/22/20,"31,279",115
Alaska,11/29/20,"36,083",136
Alaska,12/6/20,"40,293",169
Alaska,12/13/20,"43,468",177
Alaska,12/20/20,"45,247",192
Alaska,12/27/20,"47,549",207
Alaska,1/3/21,"49,681",215
Alaska,1/10/21,"51,347",220
Alaska,1/17/21,"52,820",250
Alaska,1/24/21,"53,851",253
Alaska,1/31/21,"54,880",269
Alaska,2/7/21,"56,008",271
Alaska,2/14/21,"56,979",278
Alaska,2/21/21,"57,846",279
Alaska,2/28/21,"58,870",292
Alaska,3/7/21,"59,796",292
Alaska,3/14/21,"60,683",296
Alaska,3/21/21,"61,744",299
Alaska,3/28/21,"62,987",299
Alaska,4/4/21,"64,259",299
Alaska,4/11/21,"65,390",318
Alaska,4/18/21,"66,518",318
Alaska,4/25/21,"67,598",330
Alaska,5/2/21,"68,324",332
Alaska,5/9/21,"68,897",336
Alaska,5/16/21,"69,329",352
Alaska,5/23/21,"69,627",352
Alaska,5/30/21,"69,886",352
Alaska,6/6/21,"70,065",356
Alaska,6/13/21,"70,285",356
Alaska,6/20/21,"70,485",357
Alaska,6/27/21,"70,774",360
Alaska,7/4/21,"71,118",362
Alaska,7/11/21,"71,826",364
Arizona,1/26/20,1,0
Arizona,2/2/20,1,0
Arizona,2/9/20,1,0
Arizona,2/16/20,1,0
Arizona,2/23/20,1,0
Arizona,3/1/20,5,0
Arizona,3/8/20,12,0
Arizona,3/15/20,104,1
Arizona,3/22/20,773,15
Arizona,3/29/20,"2,019",53
Arizona,4/5/20,"3,393",112
Arizona,4/12/20,"4,719",181
Arizona,4/19/20,"6,280",275
Arizona,4/26/20,"8,364",353
Arizona,5/3/20,"10,960",532
Arizona,5/10/20,"13,631",679
Arizona,5/17/20,"16,040",799
Arizona,5/24/20,"19,255",903
Arizona,5/31/20,"25,517","1,046"
Arizona,6/7/20,"34,773","1,190"
Arizona,6/14/20,"50,198","1,347"
Arizona,6/21/20,"70,152","1,581"
Arizona,6/28/20,"94,616","1,821"
Arizona,7/5/20,"119,991","2,158"
Arizona,7/12/20,"141,333","2,733"
Arizona,7/19/20,"160,055","3,288"
Arizona,7/26/20,"177,019","3,753"
Arizona,8/2/20,"186,226","4,140"
Arizona,8/9/20,"192,670","4,497"
Arizona,8/16/20,"197,909","4,760"
Arizona,8/23/20,"201,317","5,010"
Arizona,8/30/20,"205,518","5,207"
Arizona,9/6/20,"208,128","5,316"
Arizona,9/13/20,"213,663","5,471"
Arizona,9/20/20,"216,826","5,623"
Arizona,9/27/20,"220,403","5,705"
Arizona,10/4/20,"224,985","5,759"
Arizona,10/11/20,"230,412","5,824"
Arizona,10/18/20,"236,898","5,870"
Arizona,10/25/20,"245,962","5,979"
Arizona,11/1/20,"257,384","6,147"
Arizona,11/8/20,"273,400","6,300"
Arizona,11/15/20,"296,997","6,459"
Arizona,11/22/20,"322,774","6,624"
Arizona,11/29/20,"361,186","6,940"
Arizona,12/6/20,"405,656","7,340"
Arizona,12/13/20,"450,807","7,956"
Arizona,12/20/20,"493,277","8,424"
Arizona,12/27/20,"539,162","9,061"
Arizona,1/3/21,"611,900","10,083"
Arizona,1/10/21,"670,234","11,248"
Arizona,1/17/21,"717,593","12,170"
Arizona,1/24/21,"756,027","13,111"
Arizona,1/31/21,"780,200","14,039"
Arizona,2/7/21,"796,094","14,957"
Arizona,2/14/21,"807,163","15,480"
Arizona,2/21/21,"816,334","15,967"
Arizona,2/28/21,"825,119","16,323"
Arizona,3/7/21,"832,094","16,546"
Arizona,3/14/21,"835,765","16,733"
Arizona,3/21/21,"839,334","16,913"
Arizona,3/28/21,"843,838","16,991"
Arizona,4/4/21,"849,022","17,092"
Arizona,4/11/21,"853,050","17,153"
Arizona,4/18/21,"858,076","17,260"
Arizona,4/25/21,"863,571","17,338"
Arizona,5/2/21,"868,382","17,407"
Arizona,5/9/21,"872,496","17,459"
Arizona,5/16/21,"876,411","17,547"
Arizona,5/23/21,"880,466","17,628"
Arizona,5/30/21,"883,314","17,698"
Arizona,6/6/21,"886,404","17,761"
Arizona,6/13/21,"889,342","17,838"
Arizona,6/20/21,"892,711","17,914"
Arizona,6/27/21,"896,518","17,975"
Arizona,7/4/21,"900,636","18,029"
Arizona,7/11/21,"907,268","18,114"
Arkansas,3/8/20,9,0
Arkansas,3/15/20,118,0
Arkansas,3/22/20,409,5
Arkansas,3/29/20,743,14
Arkansas,4/5/20,"1,228",25
Arkansas,4/12/20,"1,777",38
Arkansas,4/19/20,"2,909",48
Arkansas,4/26/20,"3,372",72
Arkansas,5/3/20,"3,747",88
Arkansas,5/10/20,"4,578",98
Arkansas,5/17/20,"5,775",115
Arkansas,5/24/20,"7,013",133
Arkansas,5/31/20,"9,101",154
Arkansas,6/7/20,"12,095",177
Arkansas,6/14/20,"15,142",224
Arkansas,6/21/20,"19,310",259
Arkansas,6/28/20,"23,209",286
Arkansas,7/5/20,"27,864",319
Arkansas,7/12/20,"32,533",357
Arkansas,7/19/20,"37,981",399
Arkansas,7/26/20,"43,173",458
Arkansas,8/2/20,"48,811",535
Arkansas,8/9/20,"52,392",600
Arkansas,8/16/20,"56,199",674
Arkansas,8/23/20,"60,378",772
Arkansas,8/30/20,"65,226",882
Arkansas,9/6/20,"69,710",969
Arkansas,9/13/20,"75,160","1,181"
Arkansas,9/20/20,"80,755","1,285"
Arkansas,9/27/20,"86,525","1,407"
Arkansas,10/4/20,"92,220","1,552"
Arkansas,10/11/20,"98,422","1,684"
Arkansas,10/18/20,"105,318","1,797"
Arkansas,10/25/20,"112,190","1,925"
Arkansas,11/1/20,"120,828","2,068"
Arkansas,11/8/20,"132,166","2,159"
Arkansas,11/15/20,"143,821","2,337"
Arkansas,11/22/20,"155,026","2,449"
Arkansas,11/29/20,"169,382","2,620"
Arkansas,12/6/20,"184,252","2,911"
Arkansas,12/13/20,"200,114","3,191"
Arkansas,12/20/20,"213,969","3,441"
Arkansas,12/27/20,"231,442","3,729"
Arkansas,1/3/21,"251,746","4,010"
Arkansas,1/10/21,"270,178","4,293"
Arkansas,1/17/21,"282,995","4,563"
Arkansas,1/24/21,"294,387","4,838"
Arkansas,1/31/21,"306,064","5,061"
Arkansas,2/7/21,"312,562","5,252"
Arkansas,2/14/21,"315,230","5,348"
Arkansas,2/21/21,"319,195","5,417"
Arkansas,2/28/21,"324,653","5,297"
Arkansas,3/7/21,"326,813","5,455"
Arkansas,3/14/21,"328,547","5,533"
Arkansas,3/21/21,"329,860","5,590"
Arkansas,3/28/21,"330,970","5,641"
Arkansas,4/4/21,"332,053","5,662"
Arkansas,4/11/21,"333,407","5,693"
Arkansas,4/18/21,"334,642","5,717"
Arkansas,4/25/21,"335,968","5,741"
Arkansas,5/2/21,"337,415","5,760"
Arkansas,5/9/21,"338,687","5,793"
Arkansas,5/16/21,"340,040","5,816"
Arkansas,5/23/21,"341,290","5,830"
Arkansas,5/30/21,"342,345","5,846"
Arkansas,6/6/21,"343,873","5,860"
Arkansas,6/13/21,"345,472","5,874"
Arkansas,6/20/21,"347,254","5,893"
Arkansas,6/27/21,"350,579","5,913"
Arkansas,7/4/21,"355,460","5,948"
Arkansas,7/11/21,"362,580","5,992"
California,1/19/20,1,0
California,1/26/20,3,0
California,2/2/20,6,0
California,2/9/20,7,0
California,2/16/20,9,0
California,2/23/20,28,0
California,3/1/20,100,1
California,3/8/20,381,5
California,3/15/20,"1,544",28
California,3/22/20,"5,566",122
California,3/29/20,"13,796",323
California,4/5/20,"22,421",632
California,4/12/20,"30,829","1,146"
California,4/19/20,"42,590","1,692"
California,4/26/20,"53,753","2,213"
California,5/3/20,"66,824","2,732"
California,5/10/20,"78,933","3,254"
California,5/17/20,"92,815","3,768"
California,5/24/20,"110,100","4,214"
California,5/31/20,"129,147","4,626"
California,6/7/20,"150,434","5,059"
California,6/14/20,"174,854","5,495"
California,6/21/20,"211,453","5,902"
California,6/28/20,"265,176","6,329"
California,7/5/20,"320,030","7,012"
California,7/12/20,"383,194","7,697"
California,7/19/20,"453,327","8,428"
California,7/26/20,"509,507","9,365"
California,8/2/20,"556,158","10,299"
California,8/9/20,"621,981","11,229"
California,8/16/20,"665,325","12,137"
California,8/23/20,"702,500","12,906"
California,8/30/20,"737,074","13,708"
California,9/6/20,"760,582","14,333"
California,9/13/20,"785,077","15,023"
California,9/20/20,"809,215","15,588"
California,9/27/20,"831,495","16,122"
California,10/4/20,"854,303","16,568"
California,10/11/20,"876,258","16,940"
California,10/18/20,"906,645","17,345"
California,10/25/20,"935,262","17,661"
California,11/1/20,"972,821","17,964"
California,11/8/20,"1,027,044","18,254"
California,11/15/20,"1,109,869","18,709"
California,11/22/20,"1,206,296","19,132"
California,11/29/20,"1,343,193","19,876"
California,12/6/20,"1,554,920","20,958"
California,12/13/20,"1,847,031","22,651"
California,12/20/20,"2,129,749","24,221"
California,12/27/20,"2,398,005","26,542"
California,1/3/21,"2,687,450","29,699"
California,1/10/21,"2,975,419","33,393"
California,1/17/21,"3,164,386","36,818"
California,1/24/21,"3,310,100","40,694"
California,1/31/21,"3,407,369","43,987"
California,2/7/21,"3,479,586","46,865"
California,2/14/21,"3,527,411","49,111"
California,2/21/21,"3,566,089","51,979"
California,2/28/21,"3,597,075","54,124"
California,3/7/21,"3,621,217","56,373"
California,3/14/21,"3,640,830","57,495"
California,3/21/21,"3,658,932","58,801"
California,3/28/21,"3,678,343","59,675"
California,4/4/21,"3,696,900","60,361"
California,4/11/21,"3,716,759","60,977"
California,4/18/21,"3,730,549","61,428"
California,4/25/21,"3,743,780","61,853"
California,5/2/21,"3,757,249","62,270"
California,5/9/21,"3,768,252","62,647"
California,5/16/21,"3,776,679","62,903"
California,5/23/21,"3,788,894","63,236"
California,5/30/21,"3,795,202","63,340"
California,6/6/21,"3,801,812","63,251"
California,6/13/21,"3,808,088","63,309"
California,6/20/21,"3,815,178","63,555"
California,6/27/21,"3,820,882","63,709"
California,7/4/21,"3,833,655","63,482"
California,7/11/21,"3,857,764","63,694"
Colorado,3/1/20,8,0
Colorado,3/8/20,103,2
Colorado,3/15/20,475,6
Colorado,3/22/20,"2,061",44
Colorado,3/29/20,"4,574",126
Colorado,4/5/20,"6,893",274
Colorado,4/12/20,"9,433",409
Colorado,4/19/20,"12,967",672
Colorado,4/26/20,"16,118",830
Colorado,5/3/20,"19,267",965
Colorado,5/10/20,"21,604","1,192"
Colorado,5/17/20,"23,932","1,327"
Colorado,5/24/20,"26,084","1,443"
Colorado,5/31/20,"27,834","1,527"
Colorado,6/7/20,"29,002","1,598"
Colorado,6/14/20,"30,334","1,647"
Colorado,6/21/20,"32,006","1,674"
Colorado,6/28/20,"33,900","1,703"
Colorado,7/5/20,"36,633","1,725"
Colorado,7/12/20,"39,811","1,753"
Colorado,7/19/20,"43,847","1,795"
