State,County,Cases,Deaths
Alabama,Jefferson,"82,655","1,584"
Alabama,Mobile,"44,695",851
Alabama,Madison,"36,439",531
Alabama,Tuscaloosa,"26,561",465
Alabama,Shelby,"26,332",255
Alabama,Montgomery,"25,558",622
Alabama,Baldwin,"23,184",324
Alabama,Lee,"16,666",179
Alabama,Calhoun,"14,978",332
Alabama,Morgan,"14,858",288
Alaska,Anchorage,"32,010",179
Alaska,Matanuska-Susitna Borough,"11,937",58
Alaska,Fairbanks North Star Borough,"8,061",44
Alaska,Kenai Peninsula Borough,"4,801",19
Alaska,Bethel Census Area,"3,950",22
Alaska,Juneau City and Borough,"1,545",3
Alaska,Kusilvak Census Area,"1,455",4
Alaska,Kodiak Island Borough,"1,151",6
Alaska,North Slope Borough,"1,088",4
Alaska,Valdez-Cordova Census Area,777,2
Arizona,Maricopa,"571,278","10,393"
Arizona,Pima,"119,094","2,455"
Arizona,Pinal,"55,215",921
Arizona,Yuma,"37,446",853
Arizona,Mohave,"24,804",771
Arizona,Yavapai,"20,297",534
Arizona,Coconino,"18,296",331
Arizona,Navajo,"16,995",557
Arizona,Cochise,"12,292",294
Arizona,Apache,"11,636",437
Arkansas,Pulaski,"44,466",690
Arkansas,Washington,"32,770",361
Arkansas,Benton,"31,218",431
Arkansas,Sebastian,"16,062",288
Arkansas,Craighead,"14,482",187
Arkansas,Faulkner,"14,196",171
Arkansas,Saline,"13,653",180
Arkansas,Garland,"11,272",268
Arkansas,Jefferson,"9,820",175
Arkansas,White,"9,044",129
California,Los Angeles,"1,274,071","24,603"
California,Riverside,"304,060","4,657"
California,San Bernardino,"303,350","5,235"
California,San Diego,"288,272","3,786"
California,Orange,"277,845","5,139"
California,Santa Clara,"121,304","2,202"
California,Sacramento,"112,143","1,764"
California,Kern,"112,063","1,416"
California,Fresno,"103,438","1,736"
California,Alameda,"93,382","1,287"
Colorado,Denver,"75,274",850
Colorado,El Paso,"75,043",894
Colorado,Arapahoe,"64,974",843
Colorado,Adams,"62,916",764
Colorado,Jefferson,"49,557",811
Colorado,Weld,"34,041",355
Colorado,Douglas,"31,637",272
Colorado,Larimer,"28,331",249
Colorado,Boulder,"24,483",261
Colorado,Pueblo,"19,786",424
Connecticut,Fairfield,"101,024","2,203"
Connecticut,New Haven,"92,963","2,134"
Connecticut,Hartford,"85,139","2,440"
Connecticut,New London,"22,746",451
Connecticut,Litchfield,"14,778",298
Connecticut,Middlesex,"12,964",374
Connecticut,Windham,"11,012",195
Connecticut,Tolland,"9,719",187
Connecticut,Unknown,"1,185",1
Delaware,New Castle,"65,467",847
Delaware,Sussex,"26,422",501
Delaware,Kent,"18,385",349
Delaware,Unknown,228,0
District of Columbia,District of Columbia,"49,858","1,146"
Florida,Miami-Dade,"515,810","6,472"
Florida,Broward,"253,262","3,079"
Florida,Palm Beach,"152,944","2,883"
Florida,Hillsborough,"150,433","1,832"
Florida,Orange,"150,135","1,310"
Florida,Duval,"109,603","1,483"
Florida,Pinellas,"82,880","1,671"
Florida,Polk,"74,589","1,387"
Florida,Lee,"74,558","1,009"
Florida,Osceola,"48,374",529
Georgia,Gwinnett,"104,658","1,215"
Georgia,Fulton,"101,234","1,484"
Georgia,Cobb,"81,846","1,120"
Georgia,DeKalb,"68,718","1,082"
Georgia,Cherokee,"32,188",336
Georgia,Hall,"28,289",498
Georgia,Clayton,"28,024",527
Georgia,Henry,"26,610",340
Georgia,Richmond,"25,423",535
Georgia,Chatham,"24,363",469
Guam,Unknown,"9,455",144
Hawaii,Honolulu,"29,036",406
Hawaii,Maui,"5,041",57
Hawaii,Hawaii,"3,508",56
Hawaii,Kauai,480,2
Hawaii,Kalawao,1,0
Idaho,Ada,"54,532",490
Idaho,Canyon,"28,023",316
Idaho,Kootenai,"19,380",219
